batch,case,q,phase,completed_calls,started_calls,generate_s,evaluate_s,wall_s,historical_reuses,peak_mib,status
FINAL_accelerated,case_017,3,search_1,28,28,0.25428089999877557,5.455930299999636,6.2129039000001285,6,52.18359375,complete
FINAL_accelerated,case_018,1,baseline_1,1,1,0,1.6985539999996035,2.1242729000005056,0,73.33203125,complete
FINAL_accelerated,case_018,1,search_1,12,12,0.454115799999272,13.459558599998672,14.35721569999987,6,68.78125,complete
FINAL_accelerated,case_018,2,baseline_1,1,1,0,0.3354819000005591,0.5492912999998225,0,73.20703125,complete
FINAL_accelerated,case_018,2,search_1,16,16,0.7854885000006107,9.62199800000053,10.910241900000074,6,83.21484375,complete
FINAL_accelerated,case_018,3,baseline_1,1,1,0,0.36449850000008155,0.5641899000002013,0,73.3828125,complete
FINAL_accelerated,case_018,3,search_1,28,28,1.2033324999993056,18.365321300001597,20.223177699999724,6,84.40234375,complete
FINAL_accelerated,case_019,1,baseline_1,1,1,0,0.12913340000068274,0.37433489999966696,0,33.44140625,complete
FINAL_accelerated,case_019,1,search_1,16,16,0.1457321999978376,1.8754787000016222,2.382314299999962,6,33.03125,complete
FINAL_accelerated,case_019,2,baseline_1,1,1,0,0.06433569999990141,0.3458052999994834,0,33.1640625,complete
FINAL_accelerated,case_019,2,search_1,16,16,0.109958000000006,1.5731654000028357,2.0585174999996525,6,34.61328125,complete
FINAL_accelerated,case_019,3,baseline_1,1,1,0,0.0837296999998216,0.3243836999999985,0,33.1796875,complete
FINAL_accelerated,case_019,3,search_1,28,28,0.16872879999755241,2.862203100001352,3.4695292000005793,6,35.9296875,complete
FINAL_accelerated,case_020,1,baseline_1,1,1,0,6.559793100000206,6.844787899999574,0,123.16796875,complete
FINAL_accelerated,case_020,1,search_1,16,16,0.9712112999995952,39.656157299999904,41.37985420000041,6,117.08984375,complete
FINAL_accelerated,case_020,2,baseline_1,1,1,0,1.146867200000088,1.4738822999997865,0,122.09375,complete
FINAL_accelerated,case_020,2,search_1,4,4,1.422894000001179,3.778887399999803,5.785271099999591,6,111.359375,complete
FINAL_accelerated,case_020,3,baseline_1,1,1,0,1.2253226000002542,1.5556447999997545,0,122.328125,complete
