q,k,comparison,group_type,group,cases,mean_ratio,median_ratio,min_ratio,worst_case,faster,equal,slower
3,4,L2共同候选池,计算节点规模,第2四分位，1115—3696,25,1.014083213981308,1.0000645244547683,1.0,case_002,13,12,0
3,4,L2共同候选池,计算节点规模,第3四分位，3745—7008,25,1.034581744443196,1.0046015326364608,1.0,case_007,17,8,0
3,4,L2共同候选池,计算节点规模,第4四分位，7360—35705,25,1.0173063654609673,1.0035930496214636,1.0,case_016,19,6,0
3,4,L2共同候选池,计算关键路径,第1四分位，400—2484,25,1.011125483332883,1.0,1.0,case_001,8,17,0
3,4,L2共同候选池,计算关键路径,第2四分位，2506—5980,25,1.0053050030375927,1.0,1.0,case_002,12,13,0
3,4,L2共同候选池,计算关键路径,第3四分位，6300—23904,25,1.0216455889716576,1.0046015326364608,1.0,case_019,18,7,0
3,4,L2共同候选池,计算关键路径,第4四分位，27474—863040,25,1.03932265224333,1.006667127262678,1.0,case_016,20,5,0
3,4,L2共同候选池,弱连通分量,单分量,16,1.024364820088583,1.0032113680412744,1.0,case_002,10,6,0
3,4,L2共同候选池,弱连通分量,多分量,84,1.0183944174788009,1.001013942615343,1.0,case_001,48,36,0
3,5,L2共同候选池,计算节点规模,第1四分位，552—1098,25,1.0241038430222351,1.0041747993927566,1.0,case_001,16,9,0
3,5,L2共同候选池,计算节点规模,第2四分位，1115—3696,25,1.02232277129591,1.0003051693026217,1.0,case_002,15,10,0
3,5,L2共同候选池,计算节点规模,第3四分位，3745—7008,25,1.049291595235725,1.0145093953379167,1.0,case_007,20,5,0
3,5,L2共同候选池,计算节点规模,第4四分位，7360—35705,25,1.0241165659177953,1.0056001716124106,1.0,case_016,19,6,0
3,5,L2共同候选池,计算关键路径,第1四分位，400—2484,25,1.0145701868050245,1.0,1.0,case_001,9,16,0
3,5,L2共同候选池,计算关键路径,第2四分位，2506—5980,25,1.0182300635225563,1.0041747993927566,1.0,case_002,17,8,0
3,5,L2共同候选池,计算关键路径,第3四分位，6300—23904,25,1.0317092910113765,1.021613407689357,1.0,case_027,22,3,0
3,5,L2共同候选池,计算关键路径,第4四分位，27474—863040,25,1.055325234132708,1.0235310694659716,1.0,case_016,22,3,0
3,5,L2共同候选池,弱连通分量,单分量,16,1.0229860536221986,1.0060511591866428,1.0,case_002,10,6,0
3,5,L2共同候选池,弱连通分量,多分量,84,1.0312868158194817,1.0062148735909089,1.0,case_001,60,24,0
3,1,L2同方案,计算节点规模,第1四分位，552—1098,25,1.0051793807999916,1.0,1.0,case_001,2,23,0
3,1,L2同方案,计算节点规模,第2四分位，1115—3696,25,1.0181761082615788,1.0,1.0,case_002,6,19,0
3,1,L2同方案,计算节点规模,第3四分位，3745—7008,25,1.0052498534925927,1.0,1.0,case_005,8,17,0
